Hardness(HV),Tensile_Strength(MPa)
80,255
85,270
90,285
95,305
100,320
105,335
110,350
115,370
120,385
125,400
130,415
135,430
140,450
145,465
150,480
155,495
160,510
165,530
170,545
175,560
180,575
185,595
190,610
195,625
200,640
205,660
210,675
215,690
220,705
225,720
230,740
235,755
240,770
245,785
250,800
255,820
260,835
265,850
270,865
275,880
280,900
285,915
290,930
250,820
260,835
265,850
270,865
275,880
280,900
285,915
290,930
295,950
300,965
310,995
320,1030
330,1060
340,1095
350,1125
360,1155
370,1190
380,1220
390,1255
400,1290
410,1320
420,1350
430,1385
440,1420
450,1455
460,1485
470,1520
480,1555
490,1595
500,1630
510,1665
520,1700
530,1740
540,1775
550,1810
560,1845
570,1880
580,1920
590,1955
600,1995
610,2030
620,2070
630,2105
640,2145
650,2180
